PUSHBUTTON_TYPE,INTERSECTION_ID,STATUS,ESTIMATED_YEAR_OF_IMPROVEMENT,YEAR_INSPECTED,GIS_ID,CREATED_DATE,LAST_EDITED_DATE,SE_ANNO_CAD_DATA,GLOBALID,OBJECTID,LONGITUDE,LATITUDE
None,,1,2030,2016,ADA_APSPt_1043,1470259077000,1719520978000,,{F8A709BB-FFF0-4631-897A-BF9F8B941C35},1043,-77.07242830724098,38.95974531895031
None,,1,2030,2016,ADA_APSPt_1044,1471565537000,1719520978000,,{A5613350-81EF-4276-AE05-7C91D6023C01},1044,-77.00069893582452,38.91571915679539
Type C: Compliant version with Vibro-tactile and arrow,,1,2030,2016,ADA_APSPt_1045,,1719520978000,,{EB3AA4A0-A1E6-4CF6-A602-910CC6E78CC7},1045,-76.96307200398124,38.870545785007415
None,,1,2030,2016,ADA_APSPt_1046,1470680995000,1719520978000,,{1CB0F7C7-77ED-40D1-A670-EE827074511A},1046,-77.03325761829599,38.95194322130333
None,,1,2030,2016,ADA_APSPt_1047,1471494236000,1719520978000,,{A82E29E5-4A2F-4DFB-8EB9-EF178B2F0246},1047,-76.98557225260406,38.8840034974695
None,,1,2030,2016,ADA_APSPt_1048,1473851011000,1719520978000,,{452F868E-B545-4E28-B8F4-98A68D72CAE4},1048,-77.02694025174637,38.89455359013493
Type B: 3-inch button (non-compliant),,1,2030,2016,ADA_APSPt_1049,,1719520978000,,{5FFEA042-65DE-43C4-BC53-848F5C60C562},1049,-77.0092390361033,38.87284497856302
None,,1,2030,2016,ADA_APSPt_1050,1470418748000,1719520978000,,{2D986CD3-471C-40DA-93CB-257AD0148508},1050,-76.94069115994571,38.88647459066079
None,,1,2030,2016,ADA_APSPt_1051,1472501049000,1719520978000,,{C5FFA6E1-126F-4118-A8D5-D07AF5615E13},1051,-76.99576662471098,38.95193858551431
None,,1,2030,2016,ADA_APSPt_1052,1472110358000,1719520978000,,{3A5A2ED3-727F-450A-90E4-F5BF44E1A673},1052,-77.06284025572175,38.94323527468215
None,,1,2030,2016,ADA_APSPt_1053,1471374000000,1719520978000,,{C8EEB1C3-A729-4F49-A1D8-98552AF505D8},1053,-77.00739358402805,38.94612787451664
Type C: Compliant version with Vibro-tactile and arrow,,1,2030,2016,ADA_APSPt_1054,,1719520978000,,{5BB932A2-D842-48E9-98E9-470AFDCD9B69},1054,-77.04476189088759,38.90275536283252
Type C: Compliant version with Vibro-tactile and arrow,,1,2030,2016,ADA_APSPt_1055,1472857460000,1719520978000,,{DBAA3CB6-71AF-4356-9DFB-79B91A24A8CC},1055,-77.01738897861568,38.88317602909795
None,,1,2030,2016,ADA_APSPt_1056,1473795481000,1719520978000,,{6041ACA4-7EC4-4D14-8639-C82261DAD3F7},1056,-77.04656468797232,38.91416878690995
None,,1,2030,2016,ADA_APSPt_1057,1471504055000,1719520978000,,{1BFB5146-A32D-4BDB-8A23-56C31C8C7FAA},1057,-77.00923958538694,38.9055346814787
None,,1,2030,2016,ADA_APSPt_1058,1471550727000,1719520978000,,{97EB3D1B-0BF5-4927-BF52-3DD957E857C7},1058,-77.01798177049021,38.919446062231536
None,,1,2030,2016,ADA_APSPt_1059,,1719520978000,,{2798F450-A148-4042-9C25-BABB45E7FEC4},1059,-77.0910286968912,38.94151842442949
Type A : Old version (non-compliant),,1,2030,2016,ADA_APSPt_1060,1472156714000,1719520978000,,{53CBC429-B033-4568-8DDE-B087A8B528BD},1060,-76.98841592889119,38.87933617472193
None,,1,2030,2016,ADA_APSPt_1061,1473936565000,1719520978000,,{F9B9BB6B-2DF5-42AA-8C6C-088447F918D8},1061,-77.02387131794224,38.89742507648531
None,,1,2030,2016,ADA_APSPt_1062,1470696606000,1719520978000,,{E0AA9C01-2648-4418-8DEA-CBF450850D9D},1062,-76.93410745661123,38.87383163665379
Type C: Compliant version with Vibro-tactile and arrow,,1,2030,2016,ADA_APSPt_1063,1472505199000,1719520978000,,{80632113-1ABE-49BB-9FF9-93EAC58CC12E},1063,-77.08764278069842,38.93567095993087
None,,1,2030,2016,ADA_APSPt_1064,1470777294000,1719520978000,,{06DC9E85-A137-4F51-9392-BE92106CAFFC},1064,-76.98027705761513,38.847047873730006
None,,1,2030,2016,ADA_APSPt_1065,1471373848000,1719520978000,,{19B2B80B-2464-4648-9D03-A38C7C259A91},1065,-77.00728469204758,38.946285728090125
Type A : Old version (non-compliant),,1,2030,2016,ADA_APSPt_1066,1471323194000,1719520978000,,{EF62436C-8E8E-400C-8EF8-F8AD76099EE2},1066,-77.0198023723067,38.97474935867483
None,,1,2030,2016,ADA_APSPt_1067,1472851932000,1719520978000,,{0AB21E94-27E0-4DDB-929A-41D7406E41CD},1067,-77.06628252768496,38.93151569875146
None,,1,2030,2016,ADA_APSPt_1068,1473368145000,1719520978000,,{9030B910-C71A-4DF6-8701-F5EAB523375D},1068,-77.04363606186699,38.893480670553906
None,,1,2030,2016,ADA_APSPt_1069,1473893434000,1719520978000,,{3869A7BC-F697-47E0-AAFA-882EA8D5C4F1},1069,-77.03843763568347,38.90144008849376
None,,1,2030,2016,ADA_APSPt_1070,1470688174000,1719520978000,,{35FF315B-F305-4AEA-B30B-0191F8E5E444},1070,-77.03636948678185,38.9318288023117
None,,1,2030,2016,ADA_APSPt_1071,1470769683000,1719520978000,,{12848110-9CFB-4009-8FAD-EE06A5D31FF0},1071,-76.99181789549863,38.84429510044423
